Stars,Titles,Comments
3.0 out of 5 stars,Mine fog so easily. Also slip down when you hit jumps.,I took these out even on sunny days they would fog up easily. I also tried to tighten them so tight they wouldn?? slip off my helmet when I hit a jump or fell. But every time they?? end up around my neck because they don?? have a rubberized strap. Not satisfied
5.0 out of 5 stars,simple detach/attach design;  lenses filter as advertised,"After one week of skiing in the Rockies at 5 - 10k feet altitude, during both very flat/overcast with snow falling and very bright sunny days, I approve. Filtration and color enhancement of ski slopes in flat light are as expected and advertised, by the amber color.  The lenses removing most light (as advertised), the ""mirrored"" versions, work as advertised.  The best feature is the attach/detach method, at least after my short history of several swaps of lenses over about 25 hours of ski usage."
5.0 out of 5 stars,Bought to wear for winter bike rides,"Although I look like a middle-aged mutant bike rider, I love these goggles in the cold weather. First, they never fog--I swear. Second, the strap fit easily under my helmet. Third, I don't get a ""cold sinus"" headache because the foam blocks the wind and keeps my forehead warm. Fourth, these goggle really keep the winter road debris (water, pebbles, sand, etc) out of my eyes. I did an experiment where, halfway through a 2-hour ride, I switched to standard bike glasses. Will not go back to them before late-Spring. These were so worth it."
5.0 out of 5 stars,Worked Great for Colorado Ski Trip!,"Used this for a 4 day ski trip to Colorado, it worked great for daytime use. Make sure you check how much sunlight the lens blocks for the conditions you are going to be in. This one was great for daytime, but in the afternoon in the shade it was hard to read the ground conditions and at night I would be impossible to ski with. If you are going to night ski get 2 pair! one for day and different lens for night."
5.0 out of 5 stars,I love these!,"They work great! I do think they make me look a bit funny but they??e also super functional and look cool as heck, you just got to wear it with confidence. They don?? fog up, the band is adjustable, and they double as sunglasses to protect from bright snow. Would recommend!"
5.0 out of 5 stars,Amazing deal for hard to find POLARIZED goggles! Reputable brand,"These were a godsend on short notice and such an amazing price ($31). Though the finish is blue, the lens view is yellow/amber for high contrast. Standard warning is don't get polarized goggles because you'll miss ice patches and some of terrain in lower light. However, I need polarized lenses due to migraines, not negotiable. They got banged around and didn't scratch. I was also pleased that I saw Squaw Valley employees wearing Zionor on the slopes, which provided reassurance about the brand. I bought 2 other goggles on Amazon listed as polarized... they were not. Easy test -- hold lenses out and look toward something with glare. Tilt lens 90 degrees and the glare area should darken and lighten as you twist. I didn't have any fogging issues. The one annoying thing is that because they are over-glasses, the bridge sticks way out and I had to fold myself in half to look down to adjust my boot."
5.0 out of 5 stars,"Hubby approved, 5 star product","I did not use the product myself, however my husband and brother in law did on our last ski trip. I heard no complaints. They skiied with blowing snow machines, they fell down the slopes, they took our 7, 5, and 3 year olds down slopes, and they tubed down slopes with wild snow fall. They thanked me numerous times for purchasing these. They we happy to put them on everyday and getting a grown man to do what's best for him is usually quite difficult. They we not only happy to wear them but they actually handed them back to me at the end of each day for aafe keeping.  I would call this a five star product."
5.0 out of 5 stars,Love my new OTG Goggles!,"No more watering eyes, and fog free!!!Win win!"
3.0 out of 5 stars,I really wanted to love these,"Don't get my rating wrong, these were absolutely fantastic goggles, if you're staying lower on the slope on a clear day. We went on some higher runs and got stuck in a white out with a gentle snow the rest of the day and I couldn't see anything. They fogged up terribly and ended up causing a wreck with another boarder mid run. If you don't plan on being snowed on then they're a great buy"
5.0 out of 5 stars,"For the price, you cannot beat it","Overall for the price you simply cannot beat these goggles. This style runs for $150+ on sale easily, so when receiving these do not have expectations like you would if you ordered $200.00 goggles.What you will get with these goggles are a great design which offers  wide angle views, great mirror lenses as well as very comfortable strap.I purchased the 24.4% VLT with S2 level of protection and they have been great in sunny and cloudy weather allowing me to see very well.Many people state these goggles fog up, it is most likely due to you not having the goggles on tight enough. I had them on loose and the fogged a tad, but once I adjusted the band and tightened the goggles to where they were still comfortable they were fine with no fog.I have used the goggles now three times in the North East and am satisfied with them.Remember folks, you are only paying $50.00, so have the right expectations here.Overall, very happy and great responsive customer service for any assistance or questions."
